Status,Sample File,Sample Name,Comments,Analysis Method,Panel,Size Standard,Run Name,REF,SQI,SFNF,SQ,UD1,UD2,UD3,Plate,Lane, Well,Marker,Allele 1,Allele 2,Allele 3,Allele 4,Allele 5,Allele 6,Size 1,Size 2,Size 3,Size 4,Size 5,Size 6
TRUE,Box2-B9-RA_25-21_J02.fsa,Box2-B9-RA_25-21,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,581_,B01,005_,Apple2019_Box5-6_Plate1-2_PM1r,7,J02,,,,,,,,,,,,,
TRUE,Box3-D7-KN_12-34_J03.fsa,Box3-D7-KN_12-34,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,685_,B02,013_,Apple2019_Box5-6_Plate1-2_PM1r,8,J03,,,,,,,,,,,,,
TRUE,Box2-C1-PR_23-10_J04.fsa,Box2-C1-PR_23-10,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,589_,B01,013_,Apple2019_Box5-6_Plate1-2_PM1r,8,J04,,,,,,,,,,,,,
TRUE,Box3-D8-RA_11-3_J05.fsa,Box3-D8-RA_11-3,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,693_,B02,021_,Apple2019_Box5-6_Plate1-2_PM1r,23,J05,,,,,,,,,,,,,
TRUE,Box2-C2-PR_23-11_J06.fsa,Box2-C2-PR_23-11,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,597_,B01,021_,Apple2019_Box5-6_Plate1-2_PM1r,23,J06,,,,,,,,,,,,,
TRUE,Box3-D9-KN_19-36_J07.fsa,Box3-D9-KN_19-36,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,701_,B02,029_,Apple2019_Box5-6_Plate1-2_PM1r,24,J07,,,,,,,,,,,,,
TRUE,Box2-C3-RA_25-14_J08.fsa,Box2-C3-RA_25-14,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,605_,B01,029_,Apple2019_Box5-6_Plate1-2_PM1r,24,J08,,,,,,,,,,,,,
TRUE,Box3-E1-KL_19-1_J09.fsa,Box3-E1-KL_19-1,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,709_,B02,037_,Apple2019_Box5-6_Plate1-2_PM1r,39,J09,,,,,,,,,,,,,
TRUE,Box2-C4-KNK_05-4_J10.fsa,Box2-C4-KNK_05-4,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,613_,B01,037_,Apple2019_Box5-6_Plate1-2_PM1r,39,J10,,,,,,,,,,,,,
TRUE,Box3-E2-RA_18-10_J11.fsa,Box3-E2-RA_18-10,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,717_,B02,045_,Apple2019_Box5-6_Plate1-2_PM1r,40,J11,,,,,,,,,,,,,
TRUE,Box2-C5-PR_16-4_J12.fsa,Box2-C5-PR_16-4,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box5-6_Plate1-2_PM1r_2019-06-18_1,FALSE,FALSE,0,0.81,621_,B01,045_,Apple2019_Box5-6_Plate1-2_PM1r,40,J12,,,,,,,,,,,,,
